Maruzaba           | score=1.0592
Critrech           | score=0.8794
Mikanogi           | score=1.0590
Dilgytsas          | score=0.9481
Miyanada           | score=0.9657
Shikamakmi         | score=0.9814
Tamihata           | score=1.0592
Tatsusegi          | score=1.0343
Relctctaria        | score=0.6953
Tsukijou           | score=0.9926
Thondara           | score=0.9663
Estomoria          | score=1.0016
Mikohara           | score=1.0586
Swantonar          | score=0.9370
Ranpanwade         | score=0.9708
Miyeranta          | score=0.9691
Sanakaya           | score=0.9657
Yumihami           | score=0.9992
Kurorikawa         | score=1.0630
Tsumitawa          | score=1.0237
Vitloria           | score=0.9933
Mainitsuki         | score=1.0080
Dorassia           | score=0.9933
Tsumibawa          | score=1.0237
Chlbopta           | score=0.7254
Yukanawa           | score=0.9881
Komizaka           | score=1.0592
Mamegimuwa         | score=1.0638
Kunemoma           | score=1.0594
Meribell           | score=0.9991
Fanagaki           | score=1.0591
Rimicure           | score=1.0594
Camirreny          | score=1.0350
Veresitra          | score=1.0350
Corlinda           | score=0.9662
Keonisya           | score=0.9663
Hahubate           | score=1.0594
Colmanger          | score=0.9480
Hakukama           | score=1.0592
İchikurami         | score=1.0270
Sakuroko           | score=1.0586
Kakurataki         | score=1.0742
Takabaya           | score=0.9659
Muohashi           | score=0.9926
Takabeshi          | score=1.0347
Tsukihan           | score=0.9985
Koshiroko          | score=1.0339
Hirushizushi       | score=0.9888
Papirews           | score=0.9884
Yukinishiga        | score=1.0126
Tsukinomi          | score=1.0341
Aldangyn           | score=0.9664
Hanazuki           | score=1.0588
Shinoska           | score=0.9657
Yukinake           | score=0.9990
Vilgatte           | score=0.9664
Kelislia           | score=0.9933
Candothara         | score=0.9814
Hijinoko           | score=1.0592
Chioriya           | score=0.9002
Makuromi           | score=1.0588
İnamecho           | score=1.0121
Sichichara         | score=0.9812
Clartert           | score=0.8793
Aimrinda           | score=0.9603
Sanagayama         | score=0.9811
Karosuko           | score=1.0592
Satasura           | score=1.0593
Yanakaji           | score=0.9987
Tagayasie          | score=0.9149
Voreshlay          | score=0.8921
Luriannel          | score=1.0019
Yaranomi           | score=0.9991
Kakuharo           | score=1.0593
Rilgunia           | score=0.9934
Ubirichita         | score=1.0415
Arpatmara          | score=1.0020
Kizushii           | score=0.9930
Cwarlein           | score=0.9223
Zenibara           | score=1.0592
Rosettia           | score=0.9932
Enemoron           | score=1.0593
Subezuki           | score=1.0592
Arichwen           | score=0.8784
Yoshimana          | score=1.0008
Belkielger         | score=0.9488
Hooakada           | score=0.9663
İshinara           | score=1.0114
Kottrite           | score=0.8894
Linielda           | score=0.9933
Chakshina          | score=0.8375
Marashima          | score=1.0337
Kirabera           | score=1.0593
Mitakashi          | score=1.0340
Takakomi           | score=1.0589
Nasatashi          | score=1.0344
Toshimawa          | score=1.0230
Shaszale           | score=0.9664
Lastsiel           | score=0.8564
Gangalsra          | score=0.8381
Shageste           | score=0.9663
Chiyamai           | score=0.8995
Chikimashiwa       | score=0.9775
Carrinder          | score=0.9480
Hitsukura          | score=1.0341
Wannemisia         | score=0.9977
Yarasagi           | score=0.9991
Shimayawa          | score=0.9574
Fukinota           | score=1.0591
Sakusakai          | score=1.0345
Cosferia           | score=0.9933
Migoshima          | score=1.0341
Nakabuzashi        | score=1.0458
Kayamara           | score=0.9655
Spraleel           | score=0.8564
Alielliy           | score=0.9332
Hoshigama          | score=1.0344
Akimochi           | score=1.0262
Shizukihata        | score=1.0460
Faresira           | score=1.0593
Kurishirawa        | score=1.0344
Akawashima         | score=1.0293
Higumora           | score=1.0593
Tanayane           | score=0.9662
Yukarono           | score=0.9993
Manakawa           | score=1.0473
Kayamari           | score=0.9653
Atanoguru          | score=1.0680
Solioner           | score=1.0263
Shirayan           | score=0.9594
Kudishishitw       | score=0.8907
Takabira           | score=1.0590
Notsukemi          | score=1.0346
İshiruni           | score=1.0116
Hakidotama         | score=1.0747
Anitsuma           | score=1.0258
Uzukiyama          | score=0.9472
Kakurakou          | score=1.0344
Tsunamera          | score=1.0349
Flangine           | score=0.9664
Arikuyou           | score=0.8793
Takanaki           | score=1.0586
Misakada           | score=1.0586
Carsengell         | score=0.8947
