Paise              | score=0.9637
Chisaga            | score=1.0074
Hagui              | score=0.9637
Jahelea            | score=1.0076
Emeriel            | score=1.0069
Yekazay            | score=0.9206
Hitama             | score=1.0214
İzutou             | score=0.9477
Nedates            | score=1.0407
Shahdya            | score=0.9417
Kuchizu            | score=1.0071
Arimiel            | score=1.0076
Reskia             | score=0.9560
Kimara             | score=1.0218
As                 | score=0.9208
Ukane              | score=0.9963
Aminmer            | score=1.0076
Shyuu              | score=0.8977
Tasaki             | score=1.0211
Richi              | score=0.9631
Misara             | score=1.0214
Biabash            | score=0.9746
Kenmeka            | score=1.0077
Mikuyou            | score=0.8876
Jusumi             | score=1.0216
Mawaka             | score=1.0107
Are                | score=0.9461
Lilliom            | score=0.9745
Achizuk            | score=1.0069
Haruhoi            | score=1.0073
Co                 | score=0.9208
Lyl                | score=0.9461
Mibuna             | score=1.0220
Kubura             | score=1.0220
Komiyam            | score=0.9735
Garina             | score=1.0216
Sonimi             | score=1.0220
Chilla             | score=0.9289
Kizuki             | score=1.0215
Banwo              | score=0.9527
Himino             | score=1.0217
Tonotak            | score=1.0406
Shibaka            | score=1.0074
Vuyel              | score=0.9307
Derune             | score=1.0220
Karume             | score=1.0218
Filinia            | score=1.0076
Shinomi            | score=1.0066
Sukaki             | score=1.0216
Lioko              | score=0.9637
Nagu               | score=0.9714
İnotaka            | score=1.0260
Fyuriel            | score=0.9739
Liriel             | score=0.9881
Quoushi            | score=0.9303
Loroce             | score=1.0220
Zecne              | score=0.9637
Tiruya             | score=0.9289
Resent             | score=0.9620
Chama              | score=0.9635
Lide               | score=0.9714
Medyra             | score=1.0220
Remelin            | score=1.0405
Kanneba            | score=1.0075
Rinsa              | score=0.9636
Serart             | score=0.9619
Sanagi             | score=1.0215
Minazuk            | score=1.0403
Feibuka            | score=1.0077
Chesata            | score=1.0076
Seryna             | score=1.0219
Toriko             | score=1.0213
Sharasa            | score=1.0069
Nasten             | score=0.9618
Kokizak            | score=1.0406
Takabai            | score=1.0072
Yude               | score=0.9114
Niga               | score=0.9712
Agakuru            | score=1.0401
Makuru             | score=1.0213
Memai              | score=0.9637
İlluh              | score=0.9560
Nini               | score=0.9714
Shamara            | score=1.0074
Shiyosa            | score=0.9415
Miliy              | score=0.9637
Sacusta            | score=1.0077
Satsubi            | score=1.0067
İbama              | score=0.9890
Reila              | score=0.9636
Sebmiko            | score=1.0075
Hinado             | score=1.0216
Vilia              | score=0.9635
Erilie             | score=0.9619
Arise              | score=0.9962
Rizaku             | score=1.0218
Tandara            | score=1.0075
Senna              | score=0.9636
Yushiou            | score=0.8542
Yana               | score=0.9109
Lalen              | score=0.9965
Lira               | score=0.9712
Matsuch            | score=0.9194
Myoshar            | score=0.9744
Mrievtr            | score=0.7777
Nitsuba            | score=1.0071
Furakuk            | score=1.0405
Yusoko             | score=0.9620
Tooiha             | score=0.9290
Manada             | score=1.0218
Vilimia            | score=1.0077
Shizuki            | score=1.0070
Blyn               | score=0.9114
Alinm              | score=0.9635
Noga               | score=0.9713
Waru               | score=0.9604
Luladen            | score=1.0407
Maseko             | score=1.0220
Kakiko             | score=1.0217
Mikoun             | score=0.9887
Salis              | score=0.9965
Alwesta            | score=0.9637
Tisa               | score=0.9714
Katcund            | score=0.9207
Hikayaw            | score=0.9633
İnski              | score=0.8460
Tariha             | score=1.0218
Denista            | score=1.0076
Munamik            | score=1.0403
Dower              | score=0.9856
Joinon             | score=0.9890
Maelia             | score=0.9286
Aplerei            | score=0.9747
Kigomyu            | score=1.0077
Ewerwel            | score=0.9857
Achashe            | score=0.9745
Sayako             | score=0.9287
Entone             | score=0.9889
Harumik            | score=1.0400
Tynge              | score=0.9637
Kausuko            | score=1.0075
Sueure             | score=0.9290
Netsuro            | score=1.0074
Vynnac             | score=0.9620
Viltera            | score=1.0076
Coran              | score=0.9966
Narao              | score=0.9634
Sakabam            | score=1.0401
Mayuru             | score=0.9288
Salanne            | score=1.0076
Karumi             | score=1.0216
Sonoge             | score=1.0218
Sugusa             | score=1.0218
Kashimo            | score=1.0060
Acarone            | score=1.0406
Ciu                | score=0.9131
Shidoba            | score=1.0075
Rucfa              | score=0.9637
Kurukak            | score=1.0403
Ssaella            | score=0.9415
Alenia             | score=0.9618
Jirssan            | score=0.8437
Eone               | score=0.9114
Anaki              | score=0.9962
Yamauru            | score=0.9200
Anniel             | score=0.9558
Akishi             | score=0.9877
Urorong            | score=1.0076
Yrakika            | score=1.0406
Amizuki            | score=1.0400
Mowana             | score=1.0110
Dora               | score=0.9713
Cuna               | score=0.9714
Sasaze             | score=1.0219
Seorika            | score=1.0074
Ches               | score=0.9113
Mox                | score=0.9351
İtsukur            | score=0.9928
Saeryia            | score=0.8877
Zrader             | score=0.9619
Byerla             | score=0.9560
Fumitad            | score=1.0406
Yonono             | score=0.9619
Kiraji             | score=1.0219
Hashiki            | score=1.0063
Shirugi            | score=1.0069
İshitak            | score=0.9931
Kuniham            | score=1.0406
Harumia            | score=1.0071
Suro               | score=0.9714
Kinada             | score=1.0219
Crora              | score=0.9637
Afiema             | score=0.9620
Valdone            | score=1.0077
